Origin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2009-2015,2015-2017,SPLIT 2005-2006,SPLIT 2010-2011,SPLIT 2011-2012,SPLIT 2012-2014,SPLIT 2015-2016,SPLIT 2018-2019
"Accra, Ghana",,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,
Addis Ababa,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Africa,,,,,,,,,,,,3.0,,,,85.0,,,7260.0,8300.0,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,
"Belawan Port, Medan, Sumatra",,,,,,,,,,,,,,,,,,225.0,,,,,,,,,,
Burmu forest,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,
"Cameroon, Central African Republic, Democratic Republic of Congo",,,,,,,,,,,,,,,,,,,718.0,,,,,,,,,
DRC,,,,,,,,,,,,,,,,,,,,423.0,,,,,,,,
Dangariguda forest,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
"Dapoli, Ratnagiri, India",,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Dehradun environs,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,
Democratic Republic of Congo,,,,,,,,,,,,,,,,,,301.0,,,,,,,,,,
Djoum,,,,,,,,,,,,,,,,,,,270.0,,,,,,,,,
Fangchenggang,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,628.0,,,,,,,,,,
Huáº¿ City,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,
"India, Kolhapur forest",,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
"Jialong, Guangdong",,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,
Kafue National Park,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
"Kanha-Pench corridor, India",,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,7200.0,,57000.0,,,,,,,,
North Ubangi,,,,,,,,,,,,,,,,,,,230.0,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,
Petauke,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
"Quang Ninh Province, Vietnam",,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,
"Sikkim, India",,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,
Thai Binh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unspecified,2145.0,3407.0,1115.0,1620.0,2419.0,2550.0,707.0,532.0,8592.0,4195.0,3842.0,3684.0,7384.0,10471.0,10462.4,31253.5,28675.5,54826.0,62781.0,44446.6,21.0,,416.0,408.0,1068.0,10.0,58.0,441.0
Vietnam,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
