,year,court,lat,lng,confidence
0,2014,茶陵县人民法院,26.77967881,113.5348856,75
1,2018,石门县人民法院,29.58634639,111.3705233,80
2,2011,厦门市海沧区人民法院,24.49014795,118.036839,75
3,2016,益阳市中级人民法院,28.56610779,112.3691449,80
4,2015,杭州市萧山区人民法院,30.18775125,120.2663828,80
5,2015,河源市源城区人民法院,23.74104376,114.7061664,80
6,2018,广州市天河区人民法院,23.11716388,113.4123101,75
7,2019,石门县人民法院,29.58634639,111.3705233,80
8,2005,南宁市青秀区人民法院,22.82280937,108.3989318,80
9,2017,柳州市鱼峰区人民法院,24.29043747,109.4329354,80
10,2017,肇庆市高要区人民法院,23.05474925,112.499193,80
11,2017,诸暨市人民法院,29.72031747,120.2575927,80
12,2014,茶陵县人民法院,26.77967881,113.5348856,75
13,2017,温州市中级人民法院,27.99594024,120.7016073,80
14,2015,西双版纳傣族自治州中级人民法院,22.00482924,100.785358,80
15,2016,永嘉县人民法院,28.15332931,120.6895496,75
16,2017,绍兴市中级人民法院,29.99458668,120.5833965,70
17,2017,深圳市宝安区人民法院,22.56243885,113.9173621,90
18,2018,深圳市中级人民法院,22.56483702,114.073204,80
19,2017,佛山市南海区人民法院,23.06362435,113.1488688,70
20,2017,诸暨市人民法院,29.72031747,120.2575927,80
21,2016,上虞市人民法院,30.04108101,120.8717556,80
22,2017,勐腊县人民法院,21.49094586,101.5767314,80
23,2013,崇左市江州区人民法院,22.41433169,107.358766,80
24,2017,腾冲县人民法院,25.03067694,98.49830818,80
25,2014,长沙市芙蓉区人民法院,28.19378606,113.0420905,75
26,2016,磐安县人民法院,29.05335031,120.458538,80
27,2016,磐安县人民法院,29.05335031,120.458538,80
28,2017,诸暨市人民法院,29.72031747,120.2575927,80
29,2014,茶陵县人民法院,26.77967881,113.5348856,75
30,2016,永嘉县人民法院,28.15332931,120.6895496,75
31,2011,郑州市金水区人民法院,34.78160422,113.6730934,80
32,2017,永康市人民法院,28.90359747,120.0472314,80
33,2015,莆田市城厢区人民法院,25.42738004,119.0124353,75
34,2015,昆明市盘龙区人民法院,25.07373012,102.7258984,90
35,2016,磐安县人民法院,29.05335031,120.458538,80
36,2018,龙岩市新罗区人民法院,25.08079084,117.0302706,80
37,2016,公诉机关东阳市人民检察院,29.29742357,120.2455881,70
38,2014,茶陵县人民法院,26.77967881,113.5348856,75
39,2016,广州市天河区人民法院,23.11716388,113.4123101,75
40,2013,深圳市福田区人民法院,22.52671293,114.060951,80
41,2017,钦州市钦南区人民法院,21.9444695,108.6571004,80
42,2017,诸暨市人民法院,29.72031747,120.2575927,80
43,2015,仙居县人民法院,28.85260088,120.7455509,80
44,2018,茂名市茂南区人民法院,21.67021018,110.9193252,80
45,2014,南京市鼓楼区人民法院,32.07124798,118.7509425,80
46,2014,茶陵县人民法院,26.77967881,113.5348856,75
47,2017,重庆市涪陵区人民法院,29.70659464,107.3771086,80
48,2016,磐安县人民法院,29.05335031,120.458538,80
49,2016,上虞市人民法院,30.04108101,120.8717556,80
50,2017,永康市人民法院,28.90359747,120.0472314,80
51,2016,上海市普陀区人民法院,31.25629164,121.4000675,80
52,2018,红河哈尼族彝族自治州中级人民法院,23.37763845,103.3802089,80
53,2019,兴国县人民法院,26.33820915,115.3674273,80
54,2017,温州市中级人民法院,27.99594024,120.7016073,80
55,2017,义乌市人民法院,29.29979125,120.0708077,75
56,2019,龙山县人民法院,29.45868019,109.4555161,80
57,2018,红河哈尼族彝族自治州中级人民法院,23.37763845,103.3802089,80
58,2013,深圳市福田区人民法院,22.52671293,114.060951,80
59,2016,大埔县人民法院,24.35520216,116.6986298,80
60,2016,东阳市人民法院,29.29381509,120.2523938,80
61,2017,湘潭市中级人民法院,27.83506815,112.960692,75
62,2015,台州市中级人民法院,28.65845877,121.4305868,75
63,2019,石门县人民法院,29.58634639,111.3705233,80
64,2014,深圳市中级人民法院,22.56483702,114.073204,80
65,2017,诸暨市人民法院,29.72031747,120.2575927,80
66,2013,贺州市八步区人民法院,24.41038901,111.5513949,80
67,2017,长汀县人民法院,25.84846919,116.356229,80
68,2007,广州市中级人民法院,23.13403896,113.2787667,80
69,2010,柘荣县人民法院,27.239866,119.8980356,80
70,2016,东阳市人民法院,29.29381509,120.2523938,80
71,2017,海南省第一中级人民法院,20.03946035,110.3658059,80
72,2018,杭州市下城区人民法院,30.31433554,120.1873695,80
73,2014,佛山市中级人民法院,22.99876481,113.1449799,75
74,2013,凭祥市人民法院,22.12190947,106.771399,80
75,2013,深圳市罗湖区人民法院,22.56167959,114.1524785,75
76,2017,兰溪市人民法院,29.20950576,119.467672,80
77,2018,肇庆市中级人民法院,23.08595331,112.5145935,75
78,2017,佛山市禅城区人民法院,23.02179567,113.1154982,90
79,2017,诸暨市人民法院,29.72031747,120.2575927,80
80,2017,诸暨市人民法院,29.72031747,120.2575927,80
81,2016,磐安县人民法院,29.05335031,120.458538,80
82,2016,佛山市顺德区人民法院,22.82830933,113.2585208,80
83,2016,勐海县人民法院,21.95735901,100.4454754,80
84,2014,南京市鼓楼区人民法院,32.07124798,118.7509425,80
85,2017,杭州市西湖区人民法院,30.28789243,120.1224669,80
86,2014,河源市源城区人民法院,23.74104376,114.7061664,80
87,2016,勐海县人民法院,21.95735901,100.4454754,80
88,2016,永嘉县人民法院,28.15332931,120.6895496,75
89,2015,腾冲县人民法院,25.03067694,98.49830818,80
90,2016,柘荣县人民法院,27.239866,119.8980356,80