From,To,from_lat,from_lng,to_lat,to_lng
"Dongxing, Guangxi",Guangdong,21.6208918,108.0516736,23.1357694,113.1982688
Myanmar,"Dalizhou,Yunnan",17.1750495,95.9999652,25.59760491,100.2365193
Guangxi,An'hui,24,109,32,117
Guangzhou,Hengyang,23.1301964,113.2592945,26.9018019,112.605859
Kunming,Guanzhou,25.0437977,102.714338,23.0693127,113.3708864
Dehongzhou,Guanzhou,24.4380107,98.59135936,23.0693127,113.3708864
Dehongzhou,Guanzhou,24.4380107,98.59135936,23.0693127,113.3708864
Dehongzhou,Kunming,24.4380107,98.59135936,25.0437977,102.714338
Dehongzhou,Kunming,24.4380107,98.59135936,25.0437977,102.714338
Dehongzhou,Tengchong,24.4380107,98.59135936,25.0283988,98.4936839
Jinghong,Chengdu,22.0025515,100.7707274,30.6624205,104.0633219
Ruili,Baoshan,24.0200662,97.8554177,25.1180731,99.1654168
Guangzhou,Ganzhou,23.1301964,113.2592945,25.8222423,114.9156711
Ruili,Dalizhou,24.0200662,97.8554177,25.59760491,100.2365193
Dehongzhou,Baoshan,24.4380107,98.59135936,25.1180731,99.1654168
"Daluo Town,Xishuangbanna",Pu'er,21.6998182,100.0529945,23.0619849,101.1407285
"Wanding Town,Dehongzhou,Yunnan","Mangshi,Yunnan",24.08468697,98.07114407,24.4354669,98.5856143
Myanmar,Jinghong,17.1750495,95.9999652,22.0025515,100.7707274
Myanmar,Jinghong,17.1750495,95.9999652,22.0025515,100.7707274
Mangshi,Dali,24.4354669,98.5856143,25.6023916,100.2449114
Myanmar,Dehong,17.1750495,95.9999652,24.4380107,98.59135936
Ruili,Dali,24.0200662,97.8554177,25.6023916,100.2449114
Ruili,Dali,24.0200662,97.8554177,25.6023916,100.2449114
Dehongzhou,Baoshan,24.4380107,98.59135936,25.1180731,99.1654168
Guangxi,Guangdong,24,109,23.1357694,113.1982688
Laos,"Yunnan, China",20.0171109,103.378253,25,102
Vietnam,"Yunnan, China",13.2904027,108.4265113,25,102
"Changle,Fujian",Chongqing,25.9660393,119.5185643,29.56899625,106.5584342
Ruili,Dali,24.0200662,97.8554177,25.6023916,100.2449114
Dehong,Dali,24.4380107,98.59135936,25.6023916,100.2449114
Ruili,Baoshan,24.0200662,97.8554177,25.1180731,99.1654168
Mangshi,Baoshan,24.4354669,98.5856143,25.1180731,99.1654168
Qingyuan,Foshan,23.6832984,113.0505994,23.0247687,113.1146335
Dehong,Mangshi,24.4380107,98.59135936,24.4354669,98.5856143
"Kun'ming,Yunnan","Guangzhou,Guangdong",25.0437977,102.714338,23.1301964,113.2592945
Mangshi,Baoshan,24.4354669,98.5856143,25.1180731,99.1654168
"Nanping,Fujian",Shanghai,26.6417374,118.173639,31.2252985,121.4890497
Ruili,Baoshan,24.0200662,97.8554177,25.1180731,99.1654168
Baoshan,Dali,25.1180731,99.1654168,25.6023916,100.2449114
"Fangchengang,Guangxi",Guangdong,21.69300529,108.3604188,23.1357694,113.1982688
Dehong,Tengchong,24.4380107,98.59135936,25.0283988,98.4936839
Myanmar,"Yunnan,China",17.1750495,95.9999652,25,102
Dehong,Baoshan,24.4380107,98.59135936,25.1180731,99.1654168
Fangchenggang,Foshan,21.6177532,108.3453556,23.0247687,113.1146335
Hunan,Zhejiang,27.9995878,112.009538,29.0000001,119.9999999
"Dongxing,Guangxi","Guangzhou,Guangdong",21.6208918,108.0516736,23.1301964,113.2592945
Shanghai,"Panshi,Jilin",31.2252985,121.4890497,42.9409718,126.052932
Ruili,Kunming,24.0200662,97.8554177,25.0437977,102.714338
Laos,Jinghong,20.0171109,103.378253,22.0025515,100.7707274
Guangzhou,Foshan,23.1301964,113.2592945,23.0247687,113.1146335
"Heyuan,Guangdong","Longyan,Fujian",23.746777,114.6954482,25.08121984,117.0234476
"Heyuan,Guangdong","Bozhou,Anhui",23.746777,114.6954482,33.8506427,115.7844632
"Jieyang,Guangdong","Xiamen,Fujian",23.5430817,116.3497169,24.4586961,118.0745391
"Beihai,Guangxi","Shenzhen,Guangdong",21.4799081,109.1068061,22.5445697,114.0545346
Dehong,Tengchong,24.4380107,98.59135936,25.0283988,98.4936839